id	x	y	riistajalajiNimi
544	258205.771	6683798.648	Valkohntpeura
545	316784.784	6678013.719	Valkohntpeura
546	312147.188	6661073.28	Valkohntpeura
547	235149.586	6712427.818	Metskauris
548	311525.053	6656463.588	Valkohntpeura
549	465316.462	6944697.533	Valkohntpeura
550	340463.117	6785256.123	Metskauris
551	270902.785	6703072.381	Valkohntpeura
552	333961.559	6724918.353	Hirvi
553	434342.683	7283228.79	Metskauris
554	364867.992	6764099.174	Metskauris
555	329917.045	6660136.669	Valkohntpeura
556	355159.26	6738830.129	Valkohntpeura
557	221459.988	6726099.757	Valkohntpeura
558	420692.317	7189010.45	Metskauris
559	321221.434	6853265.435	Valkohntpeura
560	512450.56	6810726.143	Hirvi
561	295754.935	7062310.936	Metskauris
562	335248.994	6662002.542	Valkohntpeura
563	326237.938	6662605.329	Valkohntpeura
564	334966.45	6831191.683	Hirvi
565	300050.569	6742536.228	Hirvi
566	502299.96	6829958.162	Valkohntpeura
567	216013.484	6796032.078	Valkohntpeura
568	216263.982	6803971.69	Valkohntpeura
569	216229.085	6804205.367	Valkohntpeura
570	226171.664	6785488.688	Valkohntpeura
571	208606.418	6797484.192	Metskauris
572	399457.735	6722537.563	Hirvi
573	379219.983	6934457.847	Hirvi
574	486377.493	7050441.618	Metskauris
575	224921.543	6771018.972	Valkohntpeura
576	399736.914	6773673.796	Valkohntpeura
577	441567.607	6909030.445	Metskauris
578	218343.14	6869729.288	Valkohntpeura
579	223079.501	6797689.99	Metskauris
580	359635.597	6734721.898	Metskauris
581	277645.231	6713518.287	Metskauris
582	268538.627	6722054.807	Valkohntpeura
583	246031.315	6709384.644	Metskauris
584	226623.959	6785875.301	Valkohntpeura
585	309908.487	6781814.624	Valkohntpeura
586	252528.889	7017381.357	Metskauris
587	456624.438	6733421.815	Valkohntpeura
588	295300.853	6694219.792	Valkohntpeura
589	368767.206	6736158.312	Metskauris
590	263029.03	6767225.226	Valkohntpeura
591	317939.442	6797066.063	Valkohntpeura
592	439976.436	7374855.276	Metskauris
593	243917.488	6783985.986	Valkohntpeura
594	215976.435	6762928.967	Valkohntpeura
595	314186.976	6777608.243	Valkohntpeura
596	344795.082	6664669.418	Valkohntpeura
597	207559.03	6771733.262	Metskauris
598	368403.517	6804222.735	Valkohntpeura
599	265971.594	6929426.287	Metskauris
600	339852.62	6780077.763	Valkohntpeura
601	418777.494	6785284.438	Metskauris
602	283752.812	6718936.794	Valkohntpeura
603	511965.51	6870143.424	Valkohntpeura
604	310248.69	6781405.93	Valkohntpeura
605	450734.713	6724206.039	Hirvi
606	193893.252	6726623.895	Metskauris
607	296331.443	6739313.584	Valkohntpeura
608	342589.869	6743322.365	Valkohntpeura
609	370279.488	6703898.455	Valkohntpeura
610	360141.63	6776521.311	Valkohntpeura
611	335888.145	6784452.428	Valkohntpeura
612	342281.689	6781444.149	Valkohntpeura
613	312394.075	6777357.02	Valkohntpeura
614	193460.383	6725316.346	Valkohntpeura
615	444031.99	6922173.222	Metskauris
616	318434.423	6778647.077	Valkohntpeura
617	326503.885	6662570.345	Valkohntpeura
618	298904.071	6744305.141	Valkohntpeura
619	300059.82	6742543.008	Valkohntpeura
620	220018.724	6705143.82	Metskauris
621	288150.219	6685735.134	Valkohntpeura
622	222265.051	6769978.528	Valkohntpeura
623	483162.654	6882270.007	Hirvi
624	246095.766	6792233.342	Valkohntpeura
625	359635.101	6768335.818	Valkohntpeura
626	340150.697	6934501.993	Valkohntpeura
627	199451.555	6762671.892	Valkohntpeura
628	237949.32	6705816.318	Metskauris
629	535874.636	7119968.196	Metskauris
630	297195.277	6739976.145	Valkohntpeura
631	270306.944	6724918.938	Valkohntpeura
632	271070.842	6724615.394	Valkohntpeura
633	304816.528	6764438.446	Valkohntpeura
634	517277.44	6907686.724	Hirvi
635	266847.709	6757971.707	Valkohntpeura
636	213090.325	6718332.159	Valkohntpeura
637	219275.152	6711007.96	Valkohntpeura
638	285242.744	6701443.155	Metskauris
639	352231.66	7126412.547	Metskauris
640	360540.438	6760820.905	Metskauris
641	353276.722	6726987.375	Valkohntpeura
642	218358.401	6877724.856	Metskauris
643	380849.922	6798007.989	Hirvi
644	306488.175	6757364.446	Valkohntpeura
645	276507.89	6762181.774	Valkohntpeura
646	538938.172	6822040.742	Hirvi
647	375738.857	6898061.281	Valkohntpeura
648	238393.776	6695180.783	Valkohntpeura
649	622232.661	7254197.511	Hirvi
650	326366.116	6662526.786	Valkohntpeura
651	290024.201	6757616.284	Valkohntpeura
652	272382.622	6756413.4	Valkohntpeura
653	280325.554	6758380.635	Valkohntpeura
654	279903.951	6825857.531	Valkohntpeura
655	283043.901	6825741.057	Valkohntpeura
656	329918.929	6660257.612	Metskauris
657	312498.541	6681759.186	Valkohntpeura
658	489419.419	6752549.422	Metskauris
659	291140.426	6707047.138	Valkohntpeura
660	220262.198	6824532.729	Metskauris
661	214906.94	6718419.049	Valkohntpeura
662	316898.475	6796540.964	Valkohntpeura
663	358486.765	6775346.827	Valkohntpeura
664	210926.167	6811292.231	Valkohntpeura
665	421496.349	6764146.553	Metskauris
666	629012.453	6835070.773	Hirvi
667	315489.177	6679389.412	Valkohntpeura
668	302678.458	6788758.695	Valkohntpeura
669	302436.218	6789052.02	Valkohntpeura
670	324834.675	6662557.889	Valkohntpeura
671	316080.428	6775563.582	Valkohntpeura
672	234604.452	6794103.176	Valkohntpeura
673	296674.937	6811699.895	Valkohntpeura
674	247289.054	6755631.7	Valkohntpeura
675	271452.423	6749706.002	Valkohntpeura
676	528929.47	6967723.462	Hirvi
677	211324.93	6812379.482	Valkohntpeura
678	220158.804	6824271.559	Metskauris
